Month,DHI,DNI,GHI,Solar Zenith Angle,Wind Speed,datetime,Angulo,azimuth,tracker_theta,Hour Sine,Hour Cosine
9,13,0,13,68.45,2.7,2019-09-26 07:30:00,15,81.54595248679118,-60.0,0.9238795325112867,-0.3826834323650897
9,10,0,10,61.690000000000005,2.8000000000000003,2019-09-26 08:00:00,15,77.9852826655295,-60.0,0.8660254037844387,-0.4999999999999998
9,40,0,40,55.02,2.9000000000000004,2019-09-26 08:30:00,15,73.96550082794363,-53.943324201494974,0.7933533402912352,-0.6087614290087207
9,98,0,98,48.49,3.0,2019-09-26 09:00:00,0,69.26316060882772,-46.58162588178632,0.7071067811865476,-0.7071067811865475
9,54,0,54,42.19,2.9000000000000004,2019-09-26 09:30:00,0,63.55002130024855,-39.05823987500136,0.6087614290087204,-0.7933533402912353
9,39,0,39,36.23,2.9000000000000004,2019-09-26 10:00:00,0,56.33323988131019,-31.37296409657341,0.49999999999999994,-0.8660254037844387
9,90,0,90,30.83,2.8000000000000003,2019-09-26 10:30:00,0,46.88899966804422,-23.53765358555404,0.3826834323650899,-0.9238795325112867
9,161,6,167,26.33,2.8000000000000003,2019-09-26 11:00:00,-4,34.29137718800183,-15.576720012117953,0.258819045102521,-0.9659258262890682
9,189,10,198,23.28,2.8000000000000003,2019-09-26 11:30:00,-5,17.8899981114173,-7.52611506907945,0.13052619222005157,-0.9914448613738104
9,184,9,193,22.28,2.7,2019-09-26 12:00:00,-4,358.6091550015926,0.5693844714434662,1.2246467991473532e-16,-1.0
9,53,0,53,23.58,2.8000000000000003,2019-09-26 12:30:00,0,339.56916081311806,8.660380776830761,-0.13052619222005132,-0.9914448613738105
9,160,6,165,26.87,2.9000000000000004,2019-09-26 13:00:00,-2,323.6735118821181,16.697907744618973,-0.25881904510252035,-0.9659258262890684
9,262,15,274,31.51,3.0,2019-09-26 13:30:00,-2,311.5498909332843,24.638403004141825,-0.3826834323650892,-0.923879532511287
9,298,23,317,37.01,3.2,2019-09-26 14:00:00,-2,302.45239089348297,32.447698026241504,-0.5000000000000001,-0.8660254037844386
9,211,10,218,43.02,3.4000000000000004,2019-09-26 14:30:00,-1,295.4699026746643,40.10345386693202,-0.6087614290087207,-0.7933533402912352
9,101,0,101,49.36,3.5,2019-09-26 15:00:00,0,289.9119904062312,47.595907342393865,-0.7071067811865475,-0.7071067811865477
9,11,0,11,55.9,3.6,2019-09-26 15:30:00,0,285.31185136634645,54.927160079803045,-0.7933533402912349,-0.6087614290087209
9,37,0,37,62.58,3.7,2019-09-26 16:00:00,0,281.3581710213296,60.0,-0.8660254037844385,-0.5000000000000004
9,65,0,65,69.35000000000001,3.6,2019-09-26 16:30:00,0,277.8379166148907,60.0,-0.9238795325112868,-0.3826834323650895
